"PayCode","TotalHoursWorked","LateCount","TotalAbsentHours","TotalUndertime","TotalOvertime","RegularAtt","OvertimeAtt","NightShiftAtt","NightShiftOtAtt","EmpCodeId"
"May-1-31-2025","71.37","2","0.0","1","0.00","{}","{}","{}","{}","EMB10232"
"May-1-31-2025","56.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10235"
"May-1-31-2025","100.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10236"
"May-1-31-2025","92.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10237"
"May-1-31-2025","64.00","0","0.0","4","0.00","{}","{}","{}","{}","EMB10241"
"May-1-31-2025","63.77","5","0.0","140","0.00","{}","{}","{}","{}","EMB10245"
"May-1-31-2025","63.97","0","0.0","143","0.00","{}","{}","{}","{}","EMB10246"
"May-1-31-2025","112.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10248"
"May-1-31-2025","58.27","0","0.0","0","0.00","{}","{}","{}","{}","EMB10252"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10253"
"May-1-31-2025","88.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10259"
"May-1-31-2025","16.00","0","0.0","48","0.00","{}","{}","{}","{}","EMB10261"
"May-1-31-2025","32.00","0","0.0","96","0.00","{}","{}","{}","{}","EMB10268"
"May-1-31-2025","72.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10272"
"May-1-31-2025","56.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10274"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10275"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10276"
"May-1-31-2025","60.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10277"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10281"
"May-1-31-2025","119.05","0","0.0","4","0.00","{}","{}","{}","{}","EMB10282"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10283"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10285"
"May-1-31-2025","96.00","0","0.0","0","0.00","{}","{}","{}","{}","EMB10288"
